Title,City,Name,Category
Network & Security Senior Specialist,Cairo,ACT Advanced Computer Te...,Engineering - Telecom/Technology
Backend Developer,Giza,intella,IT/Software Development
Backend Developer,Giza,intella,Engineering - Telecom/Technology
Technical SME Engineer,Giza,Algoriza,IT/Software Development
.Net Technical Lead,Cairo,Asset Technology Group,IT/Software Development
Sr. Java Developer,Cairo,Asset Technology Group,IT/Software Development
Sr. Java Developer,Cairo,Asset Technology Group,Engineering - Telecom/Technology
Interior Designer,Cairo,Itqanconstruction,Engineering - Construction/Civil/Architecture
Senior System and Network Administrator,Cairo,Kgroup,IT/Software Development
Senior System and Network Administrator,Cairo,Kgroup,Engineering - Telecom/Technology
IT Help Desk,Cairo,Kgroup,IT/Software Development
IT Help Desk,Cairo,Kgroup,Engineering - Telecom/Technology
Senior Backend Developer - Part Time,Giza,Zewail City,IT/Software Development
Senior Backend Developer - Part Time,Giza,Zewail City,Engineering - Telecom/Technology
Odoo Developer,Cairo,Technotown,Installation/Maintenance/Repair
Odoo Developer,Cairo,Technotown,IT/Software Development
Odoo Developer,Cairo,Technotown,Engineering - Telecom/Technology
IT Operations Manager,Cairo,Kgroup,IT/Software Development
IT Operations Manager,Cairo,Kgroup,Engineering - Telecom/Technology
Senior PHP Developer (Laravel),Cairo,Safa Soft,IT/Software Development
Senior PHP Developer (Laravel),Cairo,Safa Soft,Engineering - Telecom/Technology
Quality Control Inspector,Cairo,Breadfast,IT/Software Development
Quality Control Inspector,Cairo,Breadfast,Quality
Senior Database Administrator,Giza,Smart Cards application,IT/Software Development
Senior Database Administrator,Giza,Smart Cards application,Engineering - Telecom/Technology
Technical Support Specialist-Cairo,Cairo,Cepack,Customer Service/Support
Technical Support Specialist-Cairo,Cairo,Cepack,IT/Software Development
Technical Support Specialist,Alexandria,Cepack,Customer Service/Support
Technical Support Specialist,Alexandria,Cepack,IT/Software Development
Senior Front End Developer,Cairo,Informatique Education,IT/Software Development
Senior Front End Developer,Cairo,Informatique Education,Engineering - Telecom/Technology
Senior Back-End Developer (Node Js),Cairo,3D Diagnostix,IT/Software Development
Senior Back-End Developer (Node Js),Cairo,3D Diagnostix,Engineering - Other
Junior Application tester and quality control,Cairo,conveyou,IT/Software Development
Senior Front End Developer Angular,Cairo,etmana,IT/Software Development
Cloud Architect,Cairo,VAS Integrated Solutions,Creative/Design/Art
Cloud Architect,Cairo,VAS Integrated Solutions,IT/Software Development
Cloud Architect,Cairo,VAS Integrated Solutions,Engineering - Telecom/Technology
Senior Engineer (Customer Services),Cairo,Raya Holding for Financi...,IT/Software Development
Senior Engineer (Customer Services),Cairo,Raya Holding for Financi...,Engineering - Telecom/Technology
Senior Engineer (Customer Services),Cairo,Raya Holding for Financi...,Engineering - Mechanical/Electrical
Technical Support Engineer,Cairo,Olivery,IT/Software Development
Technical Support Engineer,Cairo,Olivery,Logistics/Supply Chain
Business Analyst,Cairo,3S Software,IT/Software Development
Business Analyst,Cairo,3S Software,Analyst/Research
Information & Network security Engineer,Alexandria,Alexandria Business Asso...,Installation/Maintenance/Repair
Information & Network security Engineer,Alexandria,Alexandria Business Asso...,IT/Software Development
Information & Network security Engineer,Alexandria,Alexandria Business Asso...,Engineering - Telecom/Technology
IT Senior system admin- nearby to 10th of Ramadan,Sharqia,El Banna Group Company,IT/Software Development
IT Senior system admin- nearby to 10th of Ramadan,Sharqia,El Banna Group Company,Operations/Management
IT Senior system admin- nearby to 10th of Ramadan,Sharqia,El Banna Group Company,Other
Drafter,Alexandria,ECONSTRUCT DESIGN & BUIL...,Engineering - Construction/Civil/Architecture
